date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:31	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22a1e45da1929fd51:0%22	https://www.fine-industries.com/robots.txt		(from )
14:23:33	22171/22171	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2012:23:32%20GMT	https://www.fine-industries.com/	C:/My%20Web%20Sites/swg111/www.fine-industries.com/index.html	(from )
14:23:33	3475/3475	---M--	200	added ('OK')	image/png	etag:%22533de8ce8dcfd51:0%22	https://www.fine-industries.com/img/shortcut.png	C:/My%20Web%20Sites/swg111/www.fine-industries.com/img/shortcut.png	(from https://www.fine-industries.com/)
14:23:34	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22cd4fb19e684d51:0%22	https://www.fine-industries.com/css/bootstrap.min.css	C:/My%20Web%20Sites/swg111/www.fine-industries.com/css/bootstrap.min.css	(from https://www.fine-industries.com/)
14:23:34	22829/22829	---MCZ	200	added ('OK')	text/css	etag:W/%225c1b2d5e6a5d51:0%22	https://www.fine-industries.com/css/style.css	C:/My%20Web%20Sites/swg111/www.fine-industries.com/css/style.css	(from https://www.fine-industries.com/)
14:23:35	75597/75597	---MCZ	200	added ('OK')	text/css	etag:W/%22dca55d19e684d51:0%22	https://www.fine-industries.com/css/animate.css	C:/My%20Web%20Sites/swg111/www.fine-industries.com/css/animate.css	(from https://www.fine-industries.com/)
14:23:35	9761/9761	---MCZ	200	added ('OK')	text/css	etag:W/%2277a63e19e684d51:0%22	https://www.fine-industries.com/css/animated-slider.css	C:/My%20Web%20Sites/swg111/www.fine-industries.com/css/animated-slider.css	(from https://www.fine-industries.com/)
14:23:36	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/swg111/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.fine-industries.com/)
14:23:36	2615/2615	---M--	200	added ('OK')	image/png	etag:%2248c5db3de684d51:0%22	https://www.fine-industries.com/img/wtsp.png	C:/My%20Web%20Sites/swg111/www.fine-industries.com/img/wtsp.png	(from https://www.fine-industries.com/)
14:23:37	33920/33920	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228778f3de684d51:0%22	https://www.fine-industries.com/img/top-logo.svg	C:/My%20Web%20Sites/swg111/www.fine-industries.com/img/top-logo.svg	(from https://www.fine-industries.com/)
14:23:37	1869/1869	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2289d1f23e684d51:0%22	https://www.fine-industries.com/img/email.svg	C:/My%20Web%20Sites/swg111/www.fine-industries.com/img/email.svg	(from https://www.fine-industries.com/)
14:23:37	4721/4721	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2012:23:37%20GMT	https://www.fine-industries.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/swg111/www.fine-industries.com/cdn-cgi/l/email-protection.html	(from https://www.fine-industries.com/)
14:23:37	1526/1526	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226688a73ae684d51:0%22	https://www.fine-industries.com/img/smartphone.svg	C:/My%20Web%20Sites/swg111/www.fine-industries.com/img/smartphone.svg	(from https://www.fine-industries.com/)
14:23:38	17275/17275	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2012:23:38%20GMT	https://www.fine-industries.com/about.php	C:/My%20Web%20Sites/swg111/www.fine-industries.com/about.html	(from https://www.fine-industries.com/)
